antecedents,consequents,support,confidence,lift
Racing,Simulation,0.13448275862068965,0.8297872340425532,1.604255319148936
"Co-op, Singleplayer, First-Person",Action,0.10689655172413794,0.911764705882353,1.6024955436720143
"Singleplayer, Co-op, First-Person, Multiplayer",Action,0.10344827586206896,0.9090909090909091,1.5977961432506886
"Open World, First-Person","Action, Singleplayer",0.1206896551724138,0.7142857142857143,1.5934065934065935
"Adventure, Atmospheric, Open World","Action, Singleplayer",0.10344827586206896,0.7142857142857142,1.593406593406593
Realistic,Simulation,0.20344827586206896,0.8194444444444444,1.584259259259259
"First-Person, FPS","Action, Singleplayer",0.1,0.7073170731707317,1.5778611632270167
"Co-op, Open World","Singleplayer, Multiplayer",0.12413793103448276,0.8571428571428571,1.573236889692586
"Moddable, Singleplayer",Simulation,0.10344827586206896,0.8108108108108107,1.5675675675675673
"Co-op, Atmospheric",Action,0.1103448275862069,0.8888888888888888,1.562289562289562
"Adventure, Co-op",Action,0.13448275862068965,0.8863636363636364,1.5578512396694213
"Casual, Singleplayer",Simulation,0.13793103448275862,0.7999999999999999,1.5466666666666664
"Co-op, Atmospheric, Multiplayer",Action,0.1,0.8787878787878788,1.544536271808999
"Adventure, Co-op, Multiplayer",Action,0.12413793103448276,0.8780487804878049,1.5432372505543237
"Co-op, First-Person",Action,0.14482758620689656,0.8750000000000001,1.537878787878788
"Adventure, First-Person, Singleplayer",Action,0.11724137931034483,0.8717948717948718,1.5322455322455322
"Co-op, Atmospheric","Singleplayer, Multiplayer",0.10344827586206896,0.8333333333333334,1.529535864978903
Moddable,Simulation,0.11724137931034483,0.7906976744186047,1.5286821705426357
"Singleplayer, Sandbox, Indie",Simulation,0.10344827586206896,0.7894736842105262,1.5263157894736838
"Singleplayer, Early Access",Simulation,0.10344827586206896,0.7894736842105262,1.5263157894736838
"Adventure, Singleplayer, Great Soundtrack",Action,0.1103448275862069,0.8648648648648648,1.52006552006552
"Story Rich, Atmospheric, Singleplayer",Action,0.1103448275862069,0.8648648648648648,1.52006552006552
"Co-op, Multiplayer, First-Person",Action,0.1310344827586207,0.8636363636363638,1.5179063360881544
"Adventure, First-Person",Action,0.1310344827586207,0.8636363636363638,1.5179063360881544
"Adventure, Co-op, Action","Multiplayer, Singleplayer",0.1103448275862069,0.8205128205128206,1.5060045439792278
"Simulation, Co-op","Singleplayer, Multiplayer",0.1413793103448276,0.82,1.5050632911392405
"Online Co-Op, Co-op, First-Person",Action,0.1,0.8529411764705883,1.4991087344028522
"Adventure, Great Soundtrack",Action,0.11379310344827587,0.8461538461538463,1.4871794871794872
"Realistic, First-Person",Simulation,0.1,0.763157894736842,1.4754385964912278
"Sandbox, Indie",Simulation,0.1103448275862069,0.7619047619047619,1.473015873015873
Controller,Simulation,0.1103448275862069,0.7619047619047619,1.473015873015873
"Open World, Third Person",Action,0.10689655172413794,0.8378378378378378,1.4725634725634724
"Story Rich, Atmospheric",Action,0.1206896551724138,0.8333333333333333,1.4646464646464645
"Adventure, Co-op","Singleplayer, Multiplayer",0.1206896551724138,0.7954545454545455,1.460011507479862
"Atmospheric, First-Person",Action,0.11724137931034483,0.8292682926829268,1.45750184774575
"Co-op, Open World, Action",Multiplayer,0.1103448275862069,1.0,1.45
"PvP, Action",Multiplayer,0.15172413793103448,1.0,1.45
"Co-op, Open World, Singleplayer",Multiplayer,0.12413793103448276,1.0,1.45
"Online Co-Op, PvP, Singleplayer",Multiplayer,0.1,1.0,1.45
Sandbox,Simulation,0.20689655172413793,0.75,1.45
"Strategy, Co-op, Singleplayer",Multiplayer,0.10344827586206896,1.0,1.45
"Co-op, Atmospheric, Singleplayer",Multiplayer,0.10344827586206896,1.0,1.45
"PvP, Co-op, Singleplayer",Multiplayer,0.1103448275862069,1.0,1.45
"Online Co-Op, Co-op, PvP",Multiplayer,0.12413793103448276,1.0,1.45
"Online Co-Op, PvP",Multiplayer,0.13793103448275862,1.0,1.45
"PvP, First-Person",Multiplayer,0.10344827586206896,1.0,1.45
"Strategy, Co-op",Multiplayer,0.13448275862068965,1.0,1.45
"Co-op, Open World",Multiplayer,0.14482758620689656,1.0,1.45
"Co-op, Tactical",Multiplayer,0.10689655172413794,1.0,1.45
"PvP, Co-op",Multiplayer,0.15517241379310345,1.0,1.45
"Third Person, Singleplayer",Action,0.16206896551724137,0.8245614035087718,1.4492291334396594
"Adventure, Atmospheric, Singleplayer",Action,0.1413793103448276,0.82,1.4412121212121212
"Casual, Multiplayer",Simulation,0.1,0.7435897435897437,1.4376068376068378
"Singleplayer, Sandbox",Simulation,0.1793103448275862,0.7428571428571428,1.436190476190476
"Online Co-Op, First-Person",Action,0.10689655172413794,0.8157894736842105,1.4338118022328548
"Multiplayer, Sandbox",Simulation,0.13793103448275862,0.7407407407407407,1.4320987654320987
"Realistic, Action",Simulation,0.10689655172413794,0.738095238095238,1.4269841269841268
"Adventure, Atmospheric, Singleplayer, Open World",Action,0.10344827586206896,0.8108108108108107,1.4250614250614249
"Adventure, Atmospheric, Open World",Action,0.11724137931034483,0.8095238095238094,1.4227994227994225
